customer_id,name,email,signup_date,region
1,Lisa Moyer DDS,tracy11@hotmail.com,2023-05-26,West
2,Benjamin Marshall,ginawolfe@murray-martinez.org,2024-06-20,North
3,Molly Jackson,nelsonterry@gray.com,2022-06-12,North
4,John Williamson,steven48@gmail.com,2022-02-08,East
5,Meredith Long,annettemurphy@griffin-charles.com,2023-10-23,West
6,Charlene Mendez,patrickrichard@yahoo.com,2024-07-31,South
7,Stephanie Cummings,hendricksjessica@yahoo.com,2024-12-03,East
8,Stacey Montes,josephmoore@russell.com,2024-05-14,South
9,James Pena,andrew31@hotmail.com,2024-07-30,East
10,Erin Zhang,qwoodward@watson.info,2023-05-02,East
11,Sarah Daugherty,gherrera@yahoo.com,2023-04-30,North
12,Angela Bowers,kathyhall@hotmail.com,2024-09-13,South
13,John Washington,williamspamela@yahoo.com,2022-12-06,East
14,Luke Gillespie,chelsea34@yahoo.com,2024-06-28,South
15,Kelly Harris,carolineguzman@cannon.com,2024-02-17,North
16,Kathleen Beck,jjohnson@mcguire.com,2024-04-05,East
17,Samantha Lee,jonathon01@hotmail.com,2022-03-13,East
18,Shane Boyer,lkennedy@obrien.com,2023-06-12,South
19,Donna Bennett,whitney18@gmail.com,2022-08-13,South
20,Theresa Jones,laurabrown@frazier.biz,2024-11-03,West
21,Kendra Frederick,beth38@hall-cole.com,2024-06-06,South
22,Sarah Cook,chasevincent@hotmail.com,2022-01-28,West
23,Kaitlyn Nguyen,lthomas@smith.com,2022-01-13,South
24,James Johnson,theresa11@gmail.com,2022-07-08,West
25,Leon Soto,thorntonheather@alexander.net,2023-01-14,East
26,Kyle Bass,watkinschristopher@mills.org,2023-07-24,East
27,Jeffrey Bell,greed@hotmail.com,2022-06-10,South
28,Caroline Chandler,woodjose@hotmail.com,2024-12-02,South
29,James Romero,douglashunt@long.info,2022-10-16,North
30,Tyler Shannon,robertsantiago@jones-washington.info,2023-01-11,East
31,Heather Alexander,xbarton@mejia-miller.com,2024-08-11,East
32,Michael Mcmahon,qbell@gmail.com,2024-11-18,North
33,Michael Mcgrath,brittanypatel@rodriguez.com,2024-11-02,West
34,Michael Alexander,jonesmathew@barnett.com,2022-01-16,North
35,Laura Hernandez,stacey90@lopez.info,2024-12-26,South
36,Kevin Rosales,richard40@hotmail.com,2024-08-21,West
37,John Reed,margarethenson@gmail.com,2024-03-20,South
38,Daniel Chandler,joseph77@yahoo.com,2023-10-25,South
39,Karen Reynolds,jpope@yahoo.com,2024-06-28,East
40,Diana Gibson,luisramsey@gmail.com,2023-06-18,North
41,Thomas Anderson,clarkamanda@mullen.com,2023-09-17,West
42,Denise Short,johnsonbethany@morrison.com,2024-03-21,West
43,Susan Harris,joshuamarshall@hotmail.com,2022-02-26,South
44,Jamie Rivera,robert28@clayton-jackson.com,2022-11-14,South
45,Lauren Huerta,lesliejohnson@gmail.com,2022-08-29,South
46,Dylan Harris,juan65@gmail.com,2022-10-26,South
47,Whitney Hughes,xlawrence@yahoo.com,2023-07-07,South
48,Robert Klein,kyle30@yahoo.com,2024-10-08,West
49,Samuel Riley,paulpatterson@yahoo.com,2022-06-17,East
